latitude,longitude,frp,acq_time,confidence,satellite
-33.1828,-71.478,7.52,1819,n,N
-33.13059,-71.47667,1.15,556,n,N
-33.15181,-71.47655,2.29,556,n,N
-33.14837,-71.47586,2.29,556,n,N
-33.02325,-71.47574,6.21,556,n,N
-33.04797,-71.47562,3.17,556,n,N
-33.00806,-71.47517,15.56,1819,n,N
-33.14494,-71.47515,0.78,556,n,N
-33.01981,-71.47514,6.21,556,n,N
-33.04453,-71.47493,2.07,556,n,N
-33.16619,-71.47465,1.21,556,n,N
-33.01638,-71.47446,9.85,556,n,N
-33.01169,-71.47443,15.56,1819,n,N
-33.10471,-71.47381,0.99,556,n,N
-33.17854,-71.47369,14.09,1819,n,N
-33.05545,-71.47262,1.5,556,n,N
-33.0002,-71.47176,8.35,1819,n,N
-33.00384,-71.47102,8.35,1819,n,N
-33.10738,-71.47079,41.55,1819,l,N
-33.00746,-71.47025,60.59,1819,n,N
-33.01109,-71.46947,60.59,1819,l,N
-33.0595,-71.46889,0.83,556,n,N
-33.01472,-71.46875,50.08,1819,l,N
-33.10192,-71.46861,1.48,556,n,N
-33.05606,-71.46825,0.83,556,n,N
-33.09507,-71.46712,13.17,556,n,N
-32.9996,-71.46676,8.35,1819,n,N
-33.10316,-71.46667,51.94,1819,l,N
-33.09163,-71.46641,13.17,556,n,N
-33.00323,-71.46606,8.35,1819,n,N
-33.0882,-71.4657,1.21,556,n,N
-33.16636,-71.46558,13.07,1819,n,N
-33.00687,-71.46535,60.59,1819,n,N
-33.08479,-71.46488,1.21,556,n,N
-33.0105,-71.46461,60.59,1819,h,N
-33.08136,-71.46415,2.63,556,n,N
-33.07744,-71.46414,62.65,1819,l,N
-33.01413,-71.46392,50.08,1819,l,N
-33.08107,-71.46343,9.31,1819,l,N
-33.07793,-71.46342,2.63,556,n,N
-33.09569,-71.46268,13.17,556,n,N
-33.07106,-71.462,2.1,556,n,N
-33.09226,-71.46194,13.17,556,n,N
-33.10258,-71.46183,51.94,1819,h,N
-33.06762,-71.46137,1.06,556,n,N
-33.08884,-71.4612,1.21,556,n,N
-33.16209,-71.46114,165.59,1819,l,N
-33.08379,-71.46045,7.01,1819,n,N
-33.08197,-71.45979,2.63,556,n,N
-33.08045,-71.45844,8.63,1819,n,N
-33.0947,-71.45821,23.93,1819,n,N
-33.08407,-71.45765,8.63,1819,n,N
-33.09834,-71.45753,65.31,1819,l,N
-33.0877,-71.45686,20.84,1819,l,N
